step          none      temp        potential_energy  none                none              none          none
       915  0.00000000  166.317   -177.0649826249   -169.5039516856      0.0000000000   0.416869E+01     7.51
       920  0.00000000  186.001   -177.0544017249   -169.4923193049      0.0000000000   0.417046E+01     4.63
       925  0.00000000  772.614   -177.0738054359   -169.4954306057      0.0000000000   0.418762E+01     7.92
       930  0.00000000 4510.216   -177.1088741404   -169.3466453052      0.0000000000   0.426479E+01     6.58
       935  0.00000000 4164.441   -177.1200080076   -168.8182894677      0.0000000000   0.443199E+01     5.71
       940  0.00000000 1063.826   -177.1101970100   -168.7351152138      0.0000000000   0.451838E+01     8.35
       945  0.00000000  564.125   -177.1225375424   -168.7260255690      0.0000000000   0.454194E+01     3.54
       950  0.00000000  700.667   -177.1078291901   -168.6925894530      0.0000000000   0.454995E+01     4.84
       955  0.00000000  545.781   -177.0737330756   -168.6407051961      0.0000000000   0.454177E+01     2.42
       960  0.00000000  429.460   -177.0973282546   -168.6501136913      0.0000000000   0.450887E+01     5.49
       965  0.00000000  395.911   -177.0857237463   -168.6283234502      0.0000000000   0.445272E+01    12.28
       970  0.00000000  358.188   -177.0717331377   -168.6052583362      0.0000000000   0.439218E+01     2.84
       975  0.00000000  323.016   -177.0703645673   -168.5948038768      0.0000000000   0.434751E+01     7.69
       980  0.00000000  295.762   -177.0762828374   -168.5925302320      0.0000000000   0.431627E+01     7.69
       985  0.00000000  220.435   -177.0724640481   -168.5840761499      0.0000000000   0.428909E+01     7.69
       990  0.00000000  185.401   -177.0628259762   -168.5714501623      0.0000000000   0.425745E+01     8.56
       995  0.00000000  298.426   -177.0572963043   -168.5586189439      0.0000000000   0.421974E+01     6.81
      1000  0.00000000  329.529   -177.0487713603   -168.5430701574      0.0000000000   0.417727E+01     8.11
      1005  0.00000000  303.221   -177.0477251449   -168.5351524815      0.0000000000   0.412853E+01     7.47
      1010  0.00000000  307.634   -177.0453217158   -168.5236210171      0.0000000000   0.407603E+01     7.90
      1015  0.00000000  409.106   -177.0480933237   -168.5143118782      0.0000000000   0.403268E+01     7.47
      1020  0.00000000  544.594   -177.0546666909   -168.5089442247      0.0000000000   0.400481E+01     3.07
      1025  0.00000000  561.852   -177.0649137203   -168.5091219496      0.0000000000   0.399123E+01     2.64
      1030  0.00000000  425.929   -177.0656629590   -168.5062381832      0.0000000000   0.399141E+01     2.86
      1035  0.00000000  240.505   -177.0680028078   -168.5085357290      0.0000000000   0.400129E+01     2.62
      1040  0.00000000  179.939   -177.0337699424   -168.4728802110      0.0000000000   0.401499E+01    19.49
      1045  0.00000000  250.262   -177.0665931003   -168.5023519213      0.0000000000   0.402828E+01     8.35
      1050  0.00000000  302.412   -177.0638156624   -168.4972700128      0.0000000000   0.404487E+01     3.08
      1055  0.00000000  253.584   -177.0816831114   -168.5147103782      0.0000000000   0.407362E+01    12.27
      1060  0.00000000  218.519   -177.0563317728   -168.4883697294      0.0000000000   0.411237E+01     3.46
      1065  0.00000000  238.218   -177.0604833684   -168.4899205029      0.0000000000   0.415853E+01     5.27
